id,crop,description,recommendation,soil_moisture,temp,humidity,rainfall,category
25,Papaya,"Papaya trees are fast-growing and need consistent moisture. They cannot tolerate waterlogging which causes root rot and stem collapse.","Irrigate every 3-4 days in dry weather. Maintain soil moisture at 35-40%. Ensure excellent drainage. Apply mulch around the base.",38,30,72,6,fruit
26,Guava,"Guava is a hardy fruit tree that tolerates various soil moisture conditions. Regulated deficit irrigation improves fruit sweetness.","Irrigate when soil moisture drops below 25%. Withhold water partially before harvest to improve fruit quality and shelf life.",28,28,60,4,fruit
27,Passion Fruit,"Passion fruit vines need consistent moisture but are susceptible to root diseases in waterlogged soils.","Maintain soil moisture at 30-38%. Use trellised drip irrigation. Ensure good drainage. Mulch vine base to regulate soil temperature.",35,26,70,6,fruit
28,Turmeric,"Turmeric needs high moisture during active growth phase. The rhizomes develop best with consistent warm wet conditions.","Irrigate every 5-7 days during vegetative growth. Maintain soil moisture above 40%. Reduce irrigation one month before harvest.",42,28,78,8,spice
29,Ginger,"Ginger requires consistent moisture for rhizome development. Drought causes fibrous tough rhizomes with reduced quality.","Irrigate every 4-5 days. Maintain soil moisture at 35-45%. Use mulching extensively. Avoid waterlogging which causes rhizome rot.",40,27,75,7,spice
30,Black Pepper,"Black pepper vines are moisture-loving climbers that need humidity for berry development. Dry conditions cause berry drop.","Irrigate vines during dry season. Maintain soil moisture above 35%. Use basin irrigation around the support pole. Mulch generously.",38,28,80,8,spice
31,Cinnamon,"Cinnamon trees are drought tolerant once established but young plants need regular moisture. Quality improves with moderate stress.","Water young plants weekly. Established trees need irrigation only during severe drought. Maintain soil moisture at 25-35%.",30,28,72,6,spice
32,Clove,"Clove trees thrive in humid tropical conditions. Flowering is triggered by a dry period followed by moisture.","Allow mild dry stress before expected flowering. Resume regular irrigation after bud formation. Maintain 30-40% soil moisture during fruit development.",35,26,82,9,spice
33,Mushroom,"Mushrooms require high humidity environments with specific substrate moisture levels. Air moisture is more critical than soil moisture.","Maintain substrate moisture at 60-65%. Keep growing area humidity above 85%. Mist frequently rather than heavy watering. Ensure good air exchange.",62,22,90,0,fungi
34,Paddy Drought Management,"During drought conditions paddy fields face severe yield losses. Alternate wetting and drying (AWD) saves 20-30% water with minimal yield impact.","Implement AWD technique by allowing field water to drop 15cm below soil surface before re-flooding. Install field water tubes to monitor water depth.",35,33,60,0,management
35,Drip Irrigation Best Practice,"Drip irrigation delivers water directly to the root zone reducing evaporation losses by 30-50% compared to flood irrigation.","Install drip lines within 30cm of plant base. Run system for 30-60 minutes per session. Schedule early morning irrigation to minimize evaporation losses.",30,30,55,2,management
36,Mulching Water Conservation,"Organic mulching reduces soil evaporation by 25-50% and moderates soil temperature fluctuations. Effective for all tropical crops.","Apply 5-10cm layer of organic mulch (rice straw, coconut husks, leaves). Replenish monthly. Keep mulch 10cm away from plant stems to prevent stem rot.",30,30,65,4,management
37,Soil Moisture Monitoring,"Continuous soil moisture monitoring enables precision irrigation scheduling. Sensors should be placed at root zone depth for each crop.","Place sensors at 15cm depth for shallow-rooted crops and 30cm for deep-rooted crops. Calibrate monthly. Use trend data to predict irrigation needs 6-12 hours ahead.",35,28,60,3,management
38,Nitrogen Fertilizer Management,"Nitrogen application timing directly affects irrigation needs. Over-fertilization with nitrogen increases vegetative growth and water demand.","Split nitrogen application into 3-4 doses during crop growth. Apply after irrigation when soil is moist. Avoid applying before heavy expected rainfall.",35,28,62,5,fertilizer
39,Phosphorus Soil Health,"Phosphorus promotes root development and helps plants access water from deeper soil layers. Deficiency shows as purple leaf discoloration.","Apply phosphorus during land preparation. Maintain soil pH between 6.0-7.0 for optimal phosphorus availability. Use rock phosphate for slow-release application.",32,28,60,4,fertilizer
40,Potassium Drought Resistance,"Potassium strengthens cell walls and regulates stomata helping plants retain water during heat stress. Critical for fruit quality.","Apply potassium sulfate during fruit development stage. Split applications into 2-3 doses. Potassium improves shelf life and sugar content in fruits.",30,30,55,3,fertilizer
41,Organic Compost Application,"Well-decomposed compost improves soil water-holding capacity by 20% and reduces irrigation frequency. Essential for sandy soils.","Apply 5-10 tons per hectare of decomposed compost during land preparation. Incorporate into top 20cm of soil. Supplement with inorganic fertilizers as needed.",35,28,65,5,fertilizer
42,Leaf Blight Disease,"Leaf blight is a fungal disease aggravated by overhead irrigation and high humidity. Common in rice tomato and potato crops.","Avoid overhead irrigation during disease pressure. Ensure good air circulation. Apply copper-based fungicide preventively. Remove infected plant material.",35,28,85,8,pest_disease
43,Root Rot Prevention,"Root rot is caused by waterlogging and poor drainage. Affects most tropical crops especially during heavy monsoon periods.","Improve drainage channels. Avoid over-irrigation. Raise planting beds in heavy soils. Apply Trichoderma biological control agent to soil before planting.",45,28,80,12,pest_disease
44,Aphid Pest Management,"Aphids thrive in moderate temperature and humidity. They transmit viral diseases and reduce plant vigor through sap feeding.","Monitor undersides of leaves weekly. Use neem oil spray at first sign. Introduce ladybug beetles as biological control. Avoid excessive nitrogen fertilization.",30,25,65,3,pest_disease
45,Fruit Fly Control,"Fruit flies damage ripening fruits causing premature drop and rot. They are attracted by fermented fruit odors.","Set up methyl eugenol traps at 10 per hectare. Harvest fruits at mature green stage. Collect and destroy fallen fruits. Maintain field hygiene.",28,30,60,4,pest_disease
46,Whitefly Management,"Whiteflies are vectors for plant viruses and thrive in warm dry conditions. Common in tomato chili and cucumber crops.","Install yellow sticky traps for monitoring. Use reflective mulch to deter whiteflies. Apply insecticidal soap or neem extract at early infestation stage.",30,32,50,2,pest_disease
47,Soil pH Optimization,"Soil pH affects nutrient availability and microbial activity. Most crops prefer pH 6.0-7.0. Acidic soils need liming.","Test soil pH before each planting season. Apply agricultural lime at 2-4 tons per hectare for acidic soils. Mix lime into soil 2-4 weeks before planting.",32,28,60,5,soil_health
48,Crop Rotation Benefits,"Crop rotation breaks pest and disease cycles reduces soil nutrient depletion and improves soil structure.","Rotate between legumes cereals and vegetables. Follow heavy feeders (cabbage maize) with nitrogen-fixing legumes (bean groundnut). Maintain 3-year rotation minimum.",30,28,62,4,management
49,Rainwater Harvesting,"Collecting and storing rainwater reduces dependence on irrigation infrastructure. One hectare can yield 5000-10000 cubic meters annually.","Install rainwater collection systems from farm building roofs. Build farm ponds with 500-1000 cubic meter capacity. Use stored water during dry spells.",25,28,70,15,management
50,Heat Stress Crop Management,"Temperatures above 35°C cause pollen sterility in most crops. Combined with low humidity this creates critical yield loss risk.","Schedule irrigation during evening to reduce soil temperature. Use shade cloth for sensitive crops. Apply kaolin clay spray to reflect sunlight from leaves.",25,38,40,0,management
51,Salinity Management,"Excess soil salinity from over-irrigation or poor drainage reduces crop water uptake. White salt crusts on soil surface indicate problems.","Leach salts by applying 20% more water than crop needs quarterly. Improve drainage. Apply gypsum at 2-5 tons per hectare. Plant salt-tolerant crops in affected areas.",35,30,55,3,soil_health
52,Cover Crop Water Management,"Cover crops like mucuna and sun hemp protect soil from erosion improve water infiltration and add organic matter when incorporated.","Plant cover crops during fallow periods. Incorporate into soil 2-3 weeks before main crop planting. Leave residue as mulch for moisture conservation.",30,28,65,6,management
